obd.time,obd.trip,obd.ecu,obd.temp,obd.rpm,obd.vss,obd.throttlepos,obd.map,obd.sparkadv,gps.lon,gps.lat,gps.alt,trip.tripid,
1334513852.467393,1.000000,0.000000,91.000000,2758.250000,66.000000,27.450981,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513853.467617,1.000000,0.000000,91.000000,2756.250000,66.000000,27.450981,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513854.467858,1.000000,0.000000,91.000000,2822.500000,67.000000,29.803921,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513855.468105,1.000000,0.000000,91.000000,2780.750000,68.000000,23.529411,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513856.468352,1.000000,0.000000,91.000000,2713.250000,68.000000,23.137255,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513857.468607,1.000000,0.000000,91.000000,2728.250000,68.000000,23.529411,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513858.468690,1.000000,0.000000,91.000000,2728.250000,68.000000,21.960785,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513859.468906,1.000000,0.000000,91.000000,2718.250000,68.000000,25.098040,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513860.609565,1.000000,0.000000,91.000000,2815.250000,69.000000,26.666666,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513861.609779,1.000000,0.000000,91.000000,2890.000000,70.000000,27.843138,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513862.610012,1.000000,0.000000,91.000000,2916.000000,71.000000,23.137255,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513863.610276,1.000000,0.000000,91.000000,2782.750000,71.000000,25.490196,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513864.610509,1.000000,0.000000,91.000000,2872.250000,71.000000,26.666666,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513865.610750,1.000000,0.000000,91.000000,2834.250000,70.000000,22.352942,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513866.610999,1.000000,0.000000,91.000000,2786.000000,70.000000,24.313726,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513867.611258,1.000000,0.000000,91.000000,2819.500000,70.000000,27.450981,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513868.740715,1.000000,0.000000,91.000000,2920.500000,71.000000,28.235294,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513869.740933,1.000000,0.000000,91.000000,2893.500000,72.000000,24.705883,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513870.741192,1.000000,0.000000,91.000000,2913.750000,73.000000,26.666666,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513871.741437,1.000000,0.000000,91.000000,2944.500000,74.000000,25.098040,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513872.741682,1.000000,0.000000,91.000000,2975.000000,75.000000,26.666666,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513873.741869,1.000000,0.000000,91.000000,2940.000000,76.000000,21.176470,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513874.742107,1.000000,0.000000,91.000000,2906.750000,76.000000,21.960785,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513875.742339,1.000000,0.000000,91.000000,2623.250000,75.000000,17.647058,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513876.890265,1.000000,0.000000,91.000000,2178.250000,74.000000,23.921568,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513877.890503,1.000000,0.000000,91.000000,2066.500000,74.000000,16.862745,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513878.890757,1.000000,0.000000,92.000000,2005.750000,73.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513879.891009,1.000000,0.000000,91.000000,1556.750000,72.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513880.891247,1.000000,0.000000,91.000000,1258.750000,71.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513881.891479,1.000000,0.000000,91.000000,1257.000000,70.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513882.891714,1.000000,0.000000,91.000000,1678.000000,71.000000,14.117647,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
